,,,INJURIES_DIRECT,INJURIES_DIRECT,DEATHS_DIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_PROPERTY
,,,count_nonzero,sum,count_nonzero,sum,count_nonzero,sum,count_nonzero,sum
STATE,EVENT_TYPE,YEAR,,,,,,,,
ALABAMA,Hail,1967,0,0,0,0,0,0,13,1200250.0
ALABAMA,Hail,1968,0,0,0,0,0,0,15,5885250.0
ALABAMA,Hail,1969,0,0,0,0,0,0,6,577500.0
ALABAMA,Hail,1970,0,0,0,0,0,0,12,1053750.0
ALABAMA,Hail,1971,0,0,0,0,0,0,21,6217500.0
ALABAMA,Hail,1972,0,0,0,0,0,0,9,630000.0
ALABAMA,Hail,1973,0,0,0,0,0,0,23,4602500.0
ALABAMA,Hail,1974,0,0,0,0,0,0,45,15180750.0
ALABAMA,Hail,1975,0,0,0,0,0,0,22,4957750.0
ALABAMA,Hail,1976,0,0,0,0,0,0,16,5957500.0
ALABAMA,Hail,1977,0,0,0,0,0,0,27,6657750.0
ALABAMA,Hail,1978,0,0,0,0,0,0,21,1690060.0
ALABAMA,Hail,1979,0,0,0,0,0,0,8,2830030.0
ALABAMA,Hail,1980,0,0,0,0,0,0,23,3511030.0
ALABAMA,Hail,1981,0,0,0,0,0,0,16,1905250.0
ALABAMA,Hail,1982,0,0,0,0,0,0,44,6720280.0
ALABAMA,Hail,1983,0,0,0,0,0,0,21,835500.0
ALABAMA,Hail,1984,0,0,0,0,0,0,44,7440280.0
ALABAMA,Hail,1985,0,0,0,0,0,0,42,7203310.0
ALABAMA,Hail,1986,0,0,0,0,0,0,17,1090560.0
ALABAMA,Hail,1987,0,0,0,0,0,0,17,3188000.0
ALABAMA,Hail,1988,0,0,0,0,0,0,43,5635530.0
ALABAMA,Hail,1989,0,0,0,0,0,0,51,7413000.0
ALABAMA,Hail,1990,0,0,0,0,0,0,22,7972530.0
ALABAMA,Hail,1991,0,0,0,0,0,0,28,8020620.0
ALABAMA,Hail,1992,0,0,0,0,0,0,14,115340.0
ALABAMA,Hail,1993,0,0,0,0,0,0,18,1167530.0
ALABAMA,Hail,1994,0,0,0,0,0,0,48,68625530.0
ALABAMA,Hail,1995,0,0,0,0,0,0,111,23766400.0
ALABAMA,Hail,1996,0,0,0,0,0,0,51,43992840.0
ALABAMA,Hail,1997,0,0,0,0,0,0,65,8644340.0
ALABAMA,Hail,1998,0,0,0,0,0,0,102,22349340.0
