STATE,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
GEORGIA,4,3,13,12,37,16,18,23,11,10,7,48,12,22,19,14,21,25,24,17,20,50,44,36,44,25,21,17,19,20,43,8,15,29,38,12,10,3,4,45,18,18,25,16,32,21,18,24,45,13,33,14,29,32,46,59,25,56,86,68,13,67,17,25,43,25,34,147,25,56,77,53,52
HAWAII,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,1,0,2,0,0,0,5,0,1,0,1,0,0,1,0,1,0,3,1,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,2,0,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0
IDAHO,0,0,0,0,3,1,5,1,1,2,0,4,3,0,2,0,0,5,1,1,0,0,2,2,0,0,0,0,2,1,1,2,1,2,5,3,10,7,9,2,9,11,4,6,3,8,4,6,7,1,14,2,3,4,5,6,10,3,2,2,2,2,2,6,3,1,2,1,4,5,0,0,1
ILLINOIS,11,5,4,5,9,27,30,46,33,37,43,46,13,15,8,34,11,43,9,10,17,17,36,65,111,46,37,35,16,12,16,36,39,14,36,17,24,24,24,19,64,36,23,12,17,59,71,35,105,76,58,21,40,136,87,22,144,23,55,61,53,78,37,71,60,83,48,59,60,51,74,82,32
INDIANA,3,5,2,9,32,17,35,27,25,16,13,39,15,33,9,59,12,32,18,19,19,17,9,49,63,24,45,14,24,15,38,12,5,5,4,8,26,17,16,26,69,15,55,2,18,12,33,15,41,12,15,31,25,27,53,21,28,21,37,11,31,85,21,53,36,24,43,37,16,32,17,21,15
IOWA,4,5,6,32,19,7,7,17,16,26,29,16,12,15,55,51,41,53,28,28,22,35,25,33,27,40,26,38,27,61,50,36,36,33,81,28,47,44,67,40,80,62,30,7,49,49,22,26,78,73,51,112,32,31,124,51,40,51,115,26,34,54,18,31,113,72,48,68,76,59,31,146,55
KANSAS,33,77,21,30,68,101,78,66,49,67,61,49,63,31,96,74,35,30,24,19,31,39,46,67,45,17,21,22,31,35,21,40,67,32,67,22,37,23,24,31,109,130,94,70,41,73,73,65,72,68,70,110,104,93,125,140,100,165,218,107,88,74,110,58,41,141,114,63,48,102,17,39,62
KENTUCKY,2,2,3,0,3,3,10,4,8,3,2,10,3,9,17,7,4,17,12,5,10,20,12,19,56,1,5,13,5,12,15,4,13,9,12,5,10,7,4,20,20,12,12,4,2,30,28,39,17,6,24,7,19,39,23,23,22,33,39,41,22,70,56,44,29,17,28,29,39,30,26,63,34
Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOUISIANA,28,10,11,32,11,3,6,33,5,12,9,25,20,9,16,29,12,20,17,19,16,23,17,35,63,57,19,48,29,9,17,21,40,71,36,24,17,26,36,49,74,39,87,10,8,50,20,20,26,72,50,36,37,25,30,26,46,27,82,82,25,71,49,40,17,29,27,97,103,94,57,51,37
